"","대출액","나이","수입","결혼여부","부채","담보대출비율","순자산","고정금리여부"
"1",40000,35,2600,"1",17300,0.395,154000,"0"
"2",51200,37,2400,"1",4000,0.76,64000,"0"
"3",180000,36,3500,"1",257500,0.8,208000,"1"
"4",58000,35,6000,"1",637000,0.53,644000,"1"
"5",39100,41,1800,"1",13300,0.8,31500,"0"
"6",30100,49,4300,"1",35000,0.3,173000,"0"
"7",51900,41,2600,"0",20000,0.76,44000,"1"
"8",55200,32,2600,"0",120,0.79,36000,"1"
"9",30000,49,6000,"1",848000,0.58,1660000,"1"
"10",26000,50,1100,"0",32000,0.64,45000,"1"
"11",160000,38,18000,"0",14600000,0.71,7600000,"1"
"12",57000,45,3500,"1",38000,0.95,95000,"0"
"13",46900,47,1700,"0",0,0.74,33000,"0"
"14",90800,51,4900,"1",0,0.8,116000,"1"
"15",176000,43,10000,"1",193000,0.94,125000,"1"
"16",25000,38,3200,"1",47000,0.35,213000,"1"
"17",57000,38,3500,"1",60000,0.87,103000,"0"
"18",73600,28,4200,"1",7000,0.8,66000,"1"
"19",70000,37,3000,"1",58000,0.7,77000,"0"
"20",84720,50,11200,"1",112000,0.8,102000,"1"
"21",25000,42,2000,"0",23000,0.62,34000,"1"
"22",84000,40,6000,"1",50000,0.69,158000,"1"
"23",32000,64,2000,"0",25000,0.18,155000,"0"
"24",50000,68,3300,"1",50,0.57,167000,"1"
"25",84000,38,4000,"1",195000,0.8,300000,"1"
"26",93000,53,10000,"1",168000,0.64,577000,"1"
"27",38000,32,8000,"1",278000,0.72,109000,"1"
"28",108000,30,6000,"1",90000,0.78,105000,"1"
"29",32000,36,2300,"0",23000,0.8,43000,"0"
"30",85000,52,4200,"0",78000,0.8,153000,"1"
"31",151200,38,10000,"1",627000,0.8,892000,"1"
"32",49500,32,3000,"1",49000,0.7,52000,"0"
"33",65900,38,3000,"1",64000,0.66,325000,"1"
"34",74000,43,4300,"1",48000,0.64,203000,"1"
"35",106400,39,5700,"1",359000,0.8,473000,"1"
